gene	prior_stat	score	score_percentile	tier	verdict	flag	flag_reason	y
GENE080	0.0415769	0.05	40.7	T3	INTERMEDIATE	False		0
GENE081	0.194833	0.40452249534719636	69.3	T4	ROBUST	False		0
GENE082	0.94508	0.01925477285955904	28.7	T2	INTERMEDIATE	False		0
GENE083	0.163407	0.7004240561211885	83.3	T5	ROBUST	False		0
GENE084	0.8522	0.0	11.3	T1	INTERMEDIATE	False		0
GENE085	0.822315	0.016323537637524383	25.0	T2	INTERMEDIATE	False		0
GENE086	0.391902	0.4875130384567742	74.0	T4	ROBUST	False		0
GENE087	0.467317	0.02	29.7	T2	INTERMEDIATE	False		0
GENE088	0.0244428	0.7491630628069165	87.3	T5	ROBUST	False		1
GENE089	0.681006	0.41944444444444445	70.7	T4	ROBUST	False		0
GENE090	0.837107	0.09616523616809514	49.3	T3	INTERMEDIATE	False		0
GENE091	0.757839	0.0867292169812948	46.7	T3	INTERMEDIATE	False		0
GENE092	0.0400461	0.4206527199993221	72.0	T4	ROBUST	False		1
GENE093	0.913061	0.434429975365677	72.7	T4	ROBUST	False		0
GENE094	0.822984	0.8599140060131016	91.3	T5	ROBUST	False		0
GENE095	0.179884	0.0	11.3	T1	INTERMEDIATE	False		0
GENE096	0.0327564	0.3553779593908983	67.3	T4	ROBUST	False		1
GENE097	0.0875946	0.06704179065272756	44.7	T3	INTERMEDIATE	False		0
GENE098	0.42643	0.0	11.3	T1	INTERMEDIATE	False		0
GENE099	0.397355	0.0	11.3	T1	INTERMEDIATE	False		0
GENE100	0.202966	0.05	40.7	T3	INTERMEDIATE	False		0
GENE101	0.016278	0.6833333333333333	81.0	T5	ROBUST	False		1
GENE102	0.0956819	0.39258237291506937	68.7	T4	ROBUST	False		0
GENE103	0.00589452	0.06000000000000001	43.0	T3	INTERMEDIATE	False		0
GENE104	0.0242773	0.96	96.0	T5	ROBUST	False		1
GENE105	0.990754	0.04	35.7	T2	INTERMEDIATE	False		0
GENE106	0.26543	0.1	50.3	T3	INTERMEDIATE	False		0
GENE107	0.830864	0.09299585257892416	48.0	T3	INTERMEDIATE	False		0
GENE108	0.0354212	1.0	99.3	T5	ROBUST	False		1
GENE109	0.586792	0.1708624119802633	58.0	T3	INTERMEDIATE	False		0
GENE110	0.958451	1.0	99.3	T5	ROBUST	False		0
GENE111	0.016115	0.9519032108642941	94.3	T5	ROBUST	False		1
GENE112	0.980527	0.0	11.3	T1	INTERMEDIATE	False		0
GENE113	0.0112672	0.7189095746671891	84.7	T5	ROBUST	False		1
GENE114	0.983351	0.0	11.3	T1	INTERMEDIATE	False		0
GENE115	0.83721	0.29701864352613755	64.0	T4	ROBUST	False		0
GENE116	0.77847	0.0	11.3	T1	INTERMEDIATE	False		0
GENE117	0.00563157	0.13	54.3	T3	INTERMEDIATE	False		1
GENE118	0.63186	0.05	40.7	T3	INTERMEDIATE	False		0
GENE119	1.60342e-05	0.47333333333333333	73.3	T4	ROBUST	False		1
GENE120	0.528754	0.02299329228332069	31.3	T2	INTERMEDIATE	False		0
GENE121	0.227274	0.0	11.3	T1	INTERMEDIATE	False		0
GENE122	0.777767	0.694720656109617	82.7	T5	ROBUST	False		0
GENE123	0.170908	0.2878673239651389	63.3	T4	ROBUST	False		0
GENE124	0.0410553	0.6833333333333333	81.0	T5	ROBUST	False		1
GENE125	0.0490914	0.8095238095238095	89.3	T5	ROBUST	False		1
GENE126	0.672231	0.6455341982289553	79.3	T4	ROBUST	False		0
GENE127	0.0212059	0.96	96.0	T5	ROBUST	False		1
GENE128	0.0489845	0.935725940773834	93.3	T5	ROBUST	False		1
GENE129	0.0486992	0.6794444444444444	80.0	T4	ROBUST	False		1
GENE130	0.414542	0.9239397235346833	92.7	T5	ROBUST	False		0
GENE131	0.614587	0.017664446873966632	28.0	T2	INTERMEDIATE	False		0
GENE132	0.694291	0.01493975717686338	23.7	T2	INTERMEDIATE	False		0
GENE133	0.585894	0.0	11.3	T1	INTERMEDIATE	False		0
GENE134	0.0431894	0.1962612251378089	60.7	T4	ROBUST	False		1
GENE135	0.520505	0.3233047382813529	66.0	T4	ROBUST	False		0
GENE136	0.463405	0.06000000000000001	43.0	T3	INTERMEDIATE	False		0
GENE137	0.287482	0.0	11.3	T1	INTERMEDIATE	False		0
GENE138	0.229923	0.0	11.3	T1	INTERMEDIATE	False		0
GENE139	0.695607	0.027179326239065004	32.7	T2	INTERMEDIATE	False		0
GENE140	0.696016	0.7711289298866438	88.0	T5	ROBUST	False		0
GENE141	0.196287	0.016666666666666666	26.7	T2	INTERMEDIATE	False		0
GENE142	0.971866	0.0	11.3	T2	INTERMEDIATE	False		0
GENE143	0.0214276	0.6919163168123277	82.0	T5	ROBUST	False		1
GENE144	0.531685	0.0	11.3	T2	INTERMEDIATE	False		0
GENE145	0.841334	0.04523809523809523	38.7	T2	INTERMEDIATE	False		0
GENE146	0.00613541	0.6	76.7	T4	ROBUST	False		1
GENE147	0.476469	0.11304558528175275	52.7	T3	INTERMEDIATE	False		0
GENE148	0.259016	0.0	11.3	T2	INTERMEDIATE	False		0
GENE149	0.156979	0.092493814931719	47.3	T3	INTERMEDIATE	False		0
